algorithm,score_method,sample_size,error
pc,pillai,10000,"Missing columns in data. Can't find values for the following variables: {'SEXO_AGRESOR', 'VIOLENCIA_FISICA', 'NIVEL_EDUCATIVO_VICTIMA', 'TRABAJA_AGRESOR', 'AREA_RESIDENCIA_DOMICILIO', 'NIVEL_DE_RIESGO_VICTIMA', 'ESTADO_CIVIL_VICTIMA', 'VIOLENCIA_PSICOLOGICA', 'FRECUENCIA_AGREDE', 'SEGURO_VICTIMA', 'VIOLENCIA_ECONOMICA', 'EDAD_VICTIMA', 'TRABAJA_VICTIMA', 'VIOLENCIA_SEXUAL', 'EDAD_AGRESOR', 'NIVEL_EDUCATIVO_AGRESOR', 'HIJOS_VIVIENTES', 'ESTUDIA', 'VINCULO_AGRESOR_VICTIMA'}"
pc,chi_square,10000,"Missing columns in data. Can't find values for the following variables: {'NIVEL_DE_RIESGO_VICTIMA', 'AGRESOR_VIVE_CASA_VICTIMA'}"
pc,pillai,20000,"Missing columns in data. Can't find values for the following variables: {'SEXO_AGRESOR', 'VIOLENCIA_FISICA', 'NIVEL_EDUCATIVO_VICTIMA', 'TRABAJA_AGRESOR', 'AREA_RESIDENCIA_DOMICILIO', 'ESTADO_CIVIL_VICTIMA', 'VIOLENCIA_PSICOLOGICA', 'ESTADO_AGRESOR_U_A', 'SEGURO_VICTIMA', 'EDAD_VICTIMA', 'CONDICION', 'TRABAJA_VICTIMA', 'NIVEL_VIOLENCIA_DISTRITO', 'EDAD_AGRESOR', 'AGRESOR_VIVE_CASA_VICTIMA', 'NIVEL_EDUCATIVO_AGRESOR', 'HIJOS_VIVIENTES', 'ESTUDIA', 'VINCULO_AGRESOR_VICTIMA'}"
pc,chi_square,20000,"Missing columns in data. Can't find values for the following variables: {'NIVEL_EDUCATIVO_AGRESOR', 'AREA_RESIDENCIA_DOMICILIO', 'AGRESOR_VIVE_CASA_VICTIMA', 'VIOLENCIA_ECONOMICA'}"
pc,pillai,50000,"Missing columns in data. Can't find values for the following variables: {'SEXO_AGRESOR', 'VIOLENCIA_FISICA', 'TRATAMIENTO_VICTIMA', 'NIVEL_EDUCATIVO_VICTIMA', 'TRABAJA_AGRESOR', 'AREA_RESIDENCIA_DOMICILIO', 'ESTADO_CIVIL_VICTIMA', 'VIOLENCIA_PSICOLOGICA', 'ESTADO_AGRESOR_U_A', 'FRECUENCIA_AGREDE', 'SEGURO_VICTIMA', 'VIOLENCIA_ECONOMICA', 'CONDICION', 'NIVEL_VIOLENCIA_DISTRITO', 'EDAD_AGRESOR', 'AGRESOR_VIVE_CASA_VICTIMA', 'NIVEL_EDUCATIVO_AGRESOR', 'ESTADO_VICTIMA_G', 'HIJOS_VIVIENTES', 'VINCULO_AGRESOR_VICTIMA', 'ESTADO_VICTIMA_U_A', 'ESTADO_AGRESOR_G'}"
pc,chi_square,50000,"Missing columns in data. Can't find values for the following variables: {'VIOLENCIA_ECONOMICA', 'SEXO_AGRESOR', 'VIOLENCIA_FISICA', 'FRECUENCIA_AGREDE', 'AREA_RESIDENCIA_DOMICILIO', 'NIVEL_DE_RIESGO_VICTIMA'}"
pc,pillai,100000,"Missing columns in data. Can't find values for the following variables: {'VIOLENCIA_FISICA', 'TRATAMIENTO_VICTIMA', 'NIVEL_EDUCATIVO_VICTIMA', 'TRABAJA_AGRESOR', 'NIVEL_DE_RIESGO_VICTIMA', 'ESTADO_CIVIL_VICTIMA', 'VIOLENCIA_PSICOLOGICA', 'FRECUENCIA_AGREDE', 'VINCULO_AFECTIVO', 'SEGURO_VICTIMA', 'VIOLENCIA_ECONOMICA', 'EDAD_VICTIMA', 'CONDICION', 'NIVEL_VIOLENCIA_DISTRITO', 'VIOLENCIA_SEXUAL', 'EDAD_AGRESOR', 'NIVEL_EDUCATIVO_AGRESOR', 'REDES_FAM_SOC', 'HIJOS_VIVIENTES', 'ESTUDIA', 'VINCULO_AGRESOR_VICTIMA'}"
pc,chi_square,100000,"Missing columns in data. Can't find values for the following variables: {'VIOLENCIA_ECONOMICA', 'TRABAJA_VICTIMA', 'NIVEL_VIOLENCIA_DISTRITO', 'AREA_RESIDENCIA_DOMICILIO', 'AGRESOR_VIVE_CASA_VICTIMA'}"
