original_index,EDAD_AGRESOR
228258,90.0
359903,98.0
426748,90.0
461081,90.0
464527,98.0
473655,90.0
621573,90.0
622831,90.0
624366,90.0
749440,90.0
779908,98.0
780023,98.0
876209,100.0
896760,90.0
919723,90.0
920751,90.0
933948,90.0
942897,90.0
995029,90.0
1090306,90.0
1090310,90.0
1117293,90.0
1118450,90.0
