Model,BDeu_Score,BIC_Score,Score_method,Algorithm,Sample_Size,Training_Time_Seconds,Number_of_Edges,Number_of_df_variables,Effect_Size_Threshold,Pval_Threshold
DiscreteBayesianNetwork with 31 nodes and 13 edges,-6028487.331,-6029269.823,BDeu,gemini/gemini-2.0-flash,330504,8212.545872,13,31,0.2,0.05
DiscreteBayesianNetwork with 31 nodes and 50 edges,-5809149.461,-5815876.553,BDeu,gemini/gemini-2.0-flash,330504,37665.49179,50,31,0.0001,0.05
